0	2	823.0
0	262	1.0
0	416	3.0
0	1066	1.0
0	1253	1.0
0	3007	1.0
0	3114	2.0
0	3118	1.0
0	5914	1.0
2	150	1.0
2	262	8.0
2	416	3.0
2	1066	33.0
2	1251	1.0
2	1253	2.0
2	1255	4.0
2	1257	1.0
2	1258	4.0
2	2003	3.0
2	2327	7.0
2	3007	22.0
2	3114	6.0
2	3118	6.0
2	5914	3.0
416	2	2.0
416	2327	2.0
1057	2	1.0
1057	1066	7.0
1057	2989	1.0
1251	262	1.0
1251	416	1.0
1251	1057	1.0
1251	1253	1.0
1251	1254	1.0
1251	1255	1.0
1251	1257	1.0
1251	1258	1.0
1251	3114	2.0
1253	2	50.0
1253	1251	2.0
1254	2	2.0
1254	3007	3.0
1255	2	8.0
1255	150	1.0
1258	2	7.0
1258	3118	3.0
2003	2	38.0
2003	262	3.0
2989	2	18.0
5914	2	145.0
5914	1255	3.0
5914	3007	1.0
