0	1	700.0
0	51	2.0
0	2869	2.0
0	1101	1.0
0	5483	1.0
0	6828	2.0
1	51	89.0
1	165	4.0
1	2869	22.0
1	564	40.0
1	2903	1.0
1	952	7.0
1	1101	3.0
1	1140	3.0
1	5483	1.0
1	6828	1.0
1	1677	5.0
1	1866	5.0
1	3511	14.0
1	5644	18.0
1	2959	4.0
1	4186	4.0
1	5000	2.0
1	6653	1.0
2903	1	26.0
2903	2907	1.0
952	1	9.0
952	51	1.0
1101	1	66.0
1101	2869	1.0
1101	952	3.0
1140	1	1.0
1140	564	3.0
5483	1	19.0
5483	2959	1.0
6828	1	15.0
6828	1677	1.0
2907	1	5.0
2907	2869	5.0
2959	1	5.0
2959	5483	1.0
2959	3511	3.0
4186	1	4.0
4186	5644	5.0
4186	5000	1.0
5000	2907	1.0
6653	1	16.0
6653	4186	1.0
